x;y
3.576532;10.364577
5.951428;12.34799
8.06571;-3.7547371
3.1904464;9.533196
1.7553681;8.067726
3.692231;8.0424385
3.68263;8.499731
17.505854;7.578881
3.0018692;11.607936
15.245595;10.653646
19.735865;8.802708
5.525062;13.455756
16.07352;12.175628
4.8029075;11.683128
2.1864183;9.16033
5.8258386;14.095012
2.5606325;8.429376
15.9501;9.070779
18.167322;11.093537
5.867591;13.248826
3.1404412;10.800809
15.217092;9.275182
18.913548;9.1689825
-8.926617;11.048564
8.15773;-3.4717515
-9.213062;12.31264
15.954208;6.403313
16.074638;11.348266
5.0733976;13.163768
2.2121875;9.046904
5.568929;-3.9807117
1.799139;11.341253
18.832201;7.9331336
14.154536;6.6314673
4.144403;8.956672
-10.333265;12.564991
3.2001355;10.802223
6.487067;12.102614
15.017942;9.102843
-9.731325;11.335993
16.931635;10.738432
4.6667404;11.606878
2.400716;10.374936
2.1472664;10.517129
18.082462;8.262854
17.907053;8.949103
-10.3843;12.121574
-9.685226;12.679281
1.9881802;10.743649
15.027776;10.124491
4.9764953;13.191923
18.085955;10.120442
16.675909;6.8474455
5.4003234;12.6010685
15.671622;12.139391
6.417852;11.925956
17.272099;5.6160235
2.8603065;9.486884
2.4510527;9.205369
1.8991922;10.3369055
1.4433439;9.133116
16.3778;10.298286
3.5437841;10.545034
3.5667727;10.329148
-10.018624;11.49608
16.011677;5.909782
5.95221;14.107354
-8.989855;11.132391
15.719002;8.98551
-9.642237;13.220487
14.827805;7.710638
3.3893676;8.117493
-9.6308;12.297929
2.8533247;11.712215
19.600819;7.522944
16.359732;10.383221
16.173098;8.92271
2.9471717;8.257879
3.4072595;8.781977
16.699984;7.090371
14.811704;6.615378
19.165264;8.357982
14.7111025;10.614827
1.4649855;11.174914
3.7739246;7.9942865
5.4585357;10.807072
19.017756;7.1612024
14.812508;10.776214
18.670341;11.014659
2.0047042;12.473052
16.368708;10.406776
4.2891927;13.270696
-10.262718;12.541147
-9.646865;12.535147
18.100433;6.7514377
17.146471;12.0065775
17.493998;10.677448
4.9727073;13.600818
2.0961602;10.010781
18.49713;12.014137
2.6579633;7.836243
4.2035766;8.518695
18.663445;10.928192
-9.187924;9.986508
4.156019;12.243677
17.222504;7.0111103
3.343308;8.220237
16.292221;10.080572
3.784819;11.954011
17.270533;5.6220684
1.5258185;8.5514765
4.914013;12.496728
17.465298;9.651187
15.476075;10.142389
5.5597916;12.432554
19.212475;9.034675
15.3722105;10.497966
5.8087234;13.649913
1.6795528;9.673091
-10.050889;11.890426
19.42764;6.9717073
2.8784852;10.439612
15.255238;10.736084
-9.835227;12.6346245
6.0885243;11.908729
6.180198;12.378791
17.405767;5.810619
