DY
3047
14
HomeValue2000;Income1999;Poverty1999;PopDensity2000;PopChange;Prcnt65Plus;Below18;PrcntFemale2000;PrcntHSgrads2000;PrcntCollege2000;Unemployed;PrcntBelow18;LifeExpectancy;FarmAcres
50;87700;19358;17.3;223510;-0.7;11.8;57646;52.4;80.3;28.5;4209;25.8;73.3;240951;0
51;88600;19223;12.3;111064;0.3;12.3;28144;51;76.3;18.4;2437;25.3;74.7;158711;0
52;47600;10948;35.4;11861;-1.6;14.9;3537;54.4;62.4;10;429;29.8;72.9;144648;0
53;66000;13746;24.9;20949;-0.2;15.7;5711;53.2;69.7;9.8;903;27.3;73.7;123132;0
54;71400;14904;23.1;29605;-1.1;12.6;7211;52.8;69.1;18.4;748;24.4;73.2;173522;0
55;63800;14147;17;22380;0.7;15.9;5620;51.7;61.9;10;561;25.1;72.9;108122;0
56;71500;14015;19.9;49756;-0.2;13.1;13194;52.4;66.5;9.7;1254;26.5;70.8;96088;0
57;99800;17960;12.1;64742;2.6;11.7;16417;49.6;71.3;11.1;1097;25.4;74.4;76849;0
58;146700;27176;6.3;143293;4.5;8.5;37620;51;86.8;36.8;1381;26.3;75.4;68421;0
59;54000;11491;38.7;14798;-2.1;13.9;4305;54.1;64.8;12.4;601;29.1;73.7;174769;0
60;72200;15704;17.6;80321;0.1;13.3;20066;51.1;69.7;11.2;2082;25;72.7;109560;0
61;73600;16909;16.6;41475;-0.9;16.6;10037;52.5;70.1;14.1;1043;24.2;72.4;78232;0
62;106600;18998;17;164875;0.1;11.3;38543;51.9;78.8;24;2492;23.4;75;99827;0
63;66700;15546;16.5;70713;0;14.8;16636;51.8;67.2;9.1;1802;23.5;72.8;54950;0
64;63000;14081;18.5;18097;-1.3;12.4;5189;51;72.3;8.6;729;28.7;72.5;87143;0
65;52200;10903;39.9;13183;-0.4;13.7;4041;53.4;59.5;10.1;546;30.7;71.5;154065;0
66;60800;15738;17.1;24843;-0.8;14.2;5888;51;62.6;8.3;791;23.7;73.9;59090;0
67;88200;15988;17.7;117755;1.3;14.7;30999;49.6;79.5;18.8;2271;26.3;76.1;1260021;0
